Episode 100	Average Score: -204.23
Episode 200	Average Score: -47.96
Episode 300	Average Score: 116.84
Episode 400	Average Score: 145.17
Episode 500	Average Score: 148.79
Episode 600	Average Score: 159.49
Episode 700	Average Score: 182.91
Episode 800	Average Score: 199.22

Environment solved in 491982 timesteps!	Average Score: 208.71
Total Timesteps: 491982
